	location	address	adname	cityname	id	importance	name	pname	tel	type	typecode	经	纬	keywords
0	114.396373,23.082732	鹅岭北路16号1号楼49铺	惠城区	惠州市	B02F001RQD	[]	华硕	广东省	0752-5861291;13480546929	购物服务;家电电子卖场;数码电子	060306	114.396373	23.082732	华硕
1	118.089773,24.468780	湖滨南路69号厦门电子城1层107	思明区	厦门市	B025004BCT	[]	华硕	福建省	0592-2222678	购物服务;家电电子卖场;数码电子	060306	118.089773	24.468780	华硕
2	115.821181,32.899103	太平巷194号	颍泉区	阜阳市	B0FFHPTYCL	[]	华硕	安徽省	[]	购物服务;家电电子卖场;数码电子	060306	115.821181	32.899103	华硕
3	116.263554,28.370345	岚湖路与贤湖路交叉口西南100米	进贤县	南昌市	B03170S6EN	[]	华硕(贤湖路)	江西省	[]	购物服务;家电电子卖场;家电电子卖场	060300	116.263554	28.370345	华硕
4	117.117259,40.142486	新开街27号	平谷区	北京市	B000AA1Z2V	[]	华硕(新开街)	北京市	[]	购物服务;家电电子卖场;数码电子	060306	117.117259	40.142486	华硕
5	119.198052,36.413602	兴安街办一马路南首步步高家园沿街印台食府对面	安丘市	潍坊市	B02180JTYY	[]	华硕(潍安路)	山东省	[]	购物服务;家电电子卖场;数码电子	060306	119.198052	36.413602	华硕
6	106.249233,30.000971	义乌大道16-2-2-57号附近	合川区	重庆市	B00178XQ4B	[]	华硕(义乌大道)	重庆市	[]	购物服务;家电电子卖场;数码电子	060306	106.249233	30.000971	华硕
7	119.357777,34.089268	新东南路12-5号(圆通快递斜对面)	灌南县	连云港市	B020601VKL	[]	华硕(新东南路)	江苏省	13851236019	购物服务;家电电子卖场;数码电子	060306	119.357777	34.089268	华硕
8	121.497065,31.162001	上南路3030号127A铺	浦东新区	上海市	B001572WED	[]	华硕(上南路)	上海市	[]	购物服务;家电电子卖场;数码电子	060306	121.497065	31.162001	华硕
9	106.844623,32.356642	南江镇光雾山大道红星段335号	南江县	巴中市	B033B006IU	[]	华硕(宾江公寓西南)	四川省	0827-8269967	购物服务;家电电子卖场;数码电子	060306	106.844623	32.356642	华硕
10	120.822386,31.618096	古里镇东南开发区小康村金华路118号	常熟市	苏州市	B02001BADV	[]	华硕(银通路)	江苏省	0512-52522987	购物服务;家电电子卖场;数码电子	060306	120.822386	31.618096	华硕
11	108.039804,30.294044	果园路14号	忠县	重庆市	B00178Y3LN	[]	华硕(果园路)	重庆市	[]	购物服务;家电电子卖场;数码电子	060306	108.039804	30.294044	华硕
12	122.733403,41.513386	北一路69号	辽中区	沈阳市	B001816NCG	[]	华硕(辽中核心店)	辽宁省	024-62919193	购物服务;家电电子卖场;数码电子	060306	122.733403	41.513386	华硕
13	120.027240,32.160713	永丰路59-13号	泰兴市	泰州市	B020B027KM	[]	华硕(永丰路)	江苏省	0523-87659444;13852678578	购物服务;家电电子卖场;数码电子	060306	120.027240	32.160713	华硕
14	104.424755,29.454629	桂林街128号	荣县	自贡市	B032D00YDU	[]	华硕(桂林街)	四川省	0813-6212298	购物服务;家电电子卖场;数码电子	060306	104.424755	29.454629	华硕
15	119.450504,32.201482	健康路42-108号	京口区	镇江市	B01FF0O9I8	[]	华硕(仁章路)	江苏省	0511-85241120	购物服务;家电电子卖场;数码电子|生活服务;维修站点;维修站点	060306|071200	119.450504	32.201482	华硕
16	115.394499,37.363478	大庆路蓝天东方乐购超市西行70米路北	南宫市	邢台市	B013F0MRV5	[]	华硕(南宫专卖店)	河北省	13932965895	购物服务;家电电子卖场;数码电子	060306	115.394499	37.363478	华硕
17	105.814237,28.038746	滨河路10号	古蔺县	泸州市	B033E0NCVP	[]	华硕(建鸿路)	四川省	[]	购物服务;家电电子卖场;数码电子	060306	105.814237	28.038746	华硕
18	116.102408,25.095192	政府路中国建设银行西北侧70米	武平县	龙岩市	B025502MZX	[]	华硕(政府路)	福建省	0597-4866116	购物服务;家电电子卖场;数码电子	060306	116.102408	25.095192	华硕
19	116.096611,38.991788	温泉路562号	雄县	保定市	B01380Q2GS	[]	华硕(温泉路)	河北省	13398634666	购物服务;家电电子卖场;数码电子	060306	116.096611	38.991788	华硕
20	119.891750,29.448431	文宣西路17-19号	浦江县	金华市	B024315E48	[]	华硕(文宣西路)	浙江省	0579-88186566	购物服务;家电电子卖场;数码电子	060306	119.891750	29.448431	华硕
21	118.213612,33.456241	青阳镇工人路银河国际商贸城a08幢	泗洪县	宿迁市	B020F0IFOO	[]	华硕(五台山南路)	江苏省	[]	购物服务;家电电子卖场;数码电子	060306	118.213612	33.456241	华硕
22	117.178866,26.899531	状元街35号	泰宁县	三明市	B0256020SM	[]	华硕(状元街)	福建省	0598-7838088	购物服务;家电电子卖场;数码电子	060306	117.178866	26.899531	华硕
23	112.739006,30.457239	五七大道188号附近	潜江市	潜江市	B0AA80LXYE	[]	华硕(五七大道)	湖北省	0728-6557885;13997982527	购物服务;家电电子卖场;数码电子	060306	112.739006	30.457239	华硕
24	113.315305,22.975649	嘉胜路5号1楼	番禺区	广州市	B0FFFAHBUR	[]	华硕(嘉胜路)	广东省	[]	购物服务;家电电子卖场;家电电子卖场	060300	113.315305	22.975649	华硕
25	110.066752,41.026396	金山镇阿拉塔大街	固阳县	包头市	B01D803AFB	[]	华硕(支农路)	内蒙古自治区	[]	购物服务;家电电子卖场;数码电子	060306	110.066752	41.026396	华硕
26	110.004998,39.822436	鄂托克东街北3号(近鄂托克街)	东胜区	鄂尔多斯市	B01DD0I945	[]	华硕(鄂托克街店)	内蒙古自治区	0477-8330956	购物服务;家电电子卖场;数码电子	060306	110.004998	39.822436	华硕
27	121.687620,31.390076	长兴镇凤西路454号	崇明区	上海市	B00155N8MJ	[]	华硕(凤西路店)	上海市	[]	购物服务;家电电子卖场;数码电子	060306	121.687620	31.390076	华硕
28	113.889262,35.298293	和平大道166号附近	红旗区	新乡市	B0FFGKPORH	[]	华硕(和平大道中)	河南省	[]	购物服务;家电电子卖场;数码电子	060306	113.889262	35.298293	华硕
29	111.086152,39.021882	府前街县政府对面	保德县	忻州市	B015E0MM9M	[]	华硕(府前大街)	山西省	0350-7326158	购物服务;家电电子卖场;数码电子	060306	111.086152	39.021882	华硕
30	118.790988,32.049577	珠江路237号	玄武区	南京市	B0FFFX703Z	[]	华硕(旗舰店)	江苏省	15205155957	购物服务;家电电子卖场;数码电子	060306	118.790988	32.049577	华硕
31	112.887834,28.675380	尚书路81号	湘阴县	岳阳市	B02DA0311G	[]	华硕(尚书路)	湖南省	[]	购物服务;家电电子卖场;数码电子	060306	112.887834	28.675380	华硕
32	119.956064,31.765643	劳动西路和晋陵南路交叉口九洲数码城1层	天宁区	常州市	B0FFG56PC8	[]	华硕(劳动西路)	江苏省	13915089260	购物服务;家电电子卖场;数码电子	060306	119.956064	31.765643	华硕
33	117.185728,34.255731	中山南路100-5号	泉山区	徐州市	B0FFG7F1B1	[]	华硕(中山南路)	江苏省	0516-80101265;0516-66698232	购物服务;家电电子卖场;数码电子	060306	117.185728	34.255731	华硕
34	113.042311,36.530828	太行路与新建东街交叉口东100米	襄垣县	长治市	B01630MI5H	[]	华硕(新建东街)	山西省	[]	购物服务;家电电子卖场;数码电子	060306	113.042311	36.530828	华硕
35	108.337521,22.806201	星湖路8号可高-至胜广场12楼1201	青秀区	南宁市	B0FFFE8CR5	[]	华硕(星湖路)	广西壮族自治区	[]	购物服务;家电电子卖场;数码电子	060306	108.337521	22.806201	华硕
36	106.087264,30.795752	得益时代广场1楼	顺庆区	南充市	B0FFG8Q2JQ	[]	华硕(赛场街)	四川省	13990806065	购物服务;家电电子卖场;数码电子	060306	106.087264	30.795752	华硕
